[MINUTE], [VALUE], [SHARES OWNED = 0]
1.0,67.0
2.0,69.0
3.0,78.0
4.0,90.0
5.0,108.0
6.0,120.0
7.0,115.0
8.0,89.0
9.0,79.0
10.0,60.0
11.0,80.0
1.0,79.69555636922223
2.0,78.02625528761828
1.0,75.5356669988932
1.0,79.81513580218767
2.0,71.766364698516
3.0,79.18280748502661
1.0,70.23212310784098
1.0,80.11444839291106
1.0,85.75573668450525
1.0,83.20128028218227
1.0,87.92055009762052
1.0,87.72474898495253
1.0,81.39021944592552
1.0,86.49125227385271
1.0,92.90528693217858
1.0,93.17510812284512
1.0,101.78591211537707
1.0,98.38800808579873
1.0,98.22102233913446
2.0,92.62972243003553
3.0,100.4163457953085
4.0,103.39414313721275
5.0,112.99354977147722
